Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source,Column1
AT29_AVG6M,features.AT29_AVG6M,AT29_AVG6M,1,0,<,4.33,,,,,,
AT29_AVG6M,features.AT29_AVG6M,AT29_AVG6M,2,53,>=,4.33,<,9.67,,,,
AT29_AVG6M,features.AT29_AVG6M,AT29_AVG6M,3,146,=,Missing/NULL,,,,,,
AT29_AVG6M,features.AT29_AVG6M,AT29_AVG6M,3,146,>=,9.67,,,,,,
AT41,features.AT41,AT41,1,108,=,Missing/NULL,,,,,,
AT41,features.AT41,AT41,1,108,<,1,,,,,,
AT41,features.AT41,AT41,2,0,>=,1,,,,,,
BAL_HIST_CSH_ADV_KSC_AVG12M,features.BAL_HIST_CSH_ADV_KSC_AVG12M,BAL_HIST_CSH_ADV_KSC_AVG12M,1,0,<,99.38,,,,,,
BAL_HIST_CSH_ADV_KSC_AVG12M,features.BAL_HIST_CSH_ADV_KSC_AVG12M,BAL_HIST_CSH_ADV_KSC_AVG12M,2,64,>=,99.38,<,438.21,,,,
BAL_HIST_CSH_ADV_KSC_AVG12M,features.BAL_HIST_CSH_ADV_KSC_AVG12M,BAL_HIST_CSH_ADV_KSC_AVG12M,3,112,>=,438.21,<,794.68,,,,
BAL_HIST_CSH_ADV_KSC_AVG12M,features.BAL_HIST_CSH_ADV_KSC_AVG12M,BAL_HIST_CSH_ADV_KSC_AVG12M,4,141,>=,794.68,,,,,,
BAL_HIST_CSH_ADV_KSC_AVG12M,features.BAL_HIST_CSH_ADV_KSC_AVG12M,BAL_HIST_CSH_ADV_KSC_AVG12M,4,141,=,Missing/NULL,,,,,,
BC33_MAX6M,features.BC33_MAX6M,BC33_MAX6M,1,0,<,10368,,,,,,
BC33_MAX6M,features.BC33_MAX6M,BC33_MAX6M,2,47,>=,10368,<,17796,,,,
BC33_MAX6M,features.BC33_MAX6M,BC33_MAX6M,3,108,>=,17796,<,52370,,,,
BC33_MAX6M,features.BC33_MAX6M,BC33_MAX6M,3,108,=,Missing/NULL,,,,,,
BC33_MAX6M,features.BC33_MAX6M,BC33_MAX6M,4,205,>=,52370,,,,,,
BNS_DLQNT_DAY_GP_KSC_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_MAX24M,BNS_DLQNT_DAY_GP_KSC_MAX24M,1,142,<,10,,,,,,
BNS_DLQNT_DAY_GP_KSC_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_MAX24M,BNS_DLQNT_DAY_GP_KSC_MAX24M,1,142,=,Missing/NULL,,,,,,
BNS_DLQNT_DAY_GP_KSC_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_MAX24M,BNS_DLQNT_DAY_GP_KSC_MAX24M,2,81,>=,10,<,22,,,,
BNS_DLQNT_DAY_GP_KSC_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_MAX24M,BNS_DLQNT_DAY_GP_KSC_MAX24M,3,41,>=,22,<,41,,,,
BNS_DLQNT_DAY_GP_KSC_MAX24M,features.BNS_DLQNT_DAY_GP_KSC_MAX24M,BNS_DLQNT_DAY_GP_KSC_MAX24M,4,0,>=,41,,,,,,
GO04_MAX24M,features.GO04_MAX24M,GO04_MAX24M,1,0,<,6,,,,,,
GO04_MAX24M,features.GO04_MAX24M,GO04_MAX24M,2,45,>=,6,<,12,,,,
GO04_MAX24M,features.GO04_MAX24M,GO04_MAX24M,3,84,>=,12,<,18,,,,
GO04_MAX24M,features.GO04_MAX24M,GO04_MAX24M,4,118,>=,18,,,,,,
GO04_MAX24M,features.GO04_MAX24M,GO04_MAX24M,4,118,=,Missing/NULL,,,,,,
GO11_AVG24M,features.GO11_AVG24M,GO11_AVG24M,1,0,<,79.38,,,,,,
GO11_AVG24M,features.GO11_AVG24M,GO11_AVG24M,2,27,>=,79.38,<,85.5,,,,
GO11_AVG24M,features.GO11_AVG24M,GO11_AVG24M,3,61,>=,85.5,<,93.92,,,,
GO11_AVG24M,features.GO11_AVG24M,GO11_AVG24M,4,141,>=,93.92,,,,,,
GO11_AVG24M,features.GO11_AVG24M,GO11_AVG24M,4,141,=,Missing/NULL,,,,,,
