Input Attribute Name,Version,Detail Score Name,Bin,Score,OperatorLower,RangeLower,OperatorUpper,RangeUpper,Filter Flag,Population Target,Population Source
BNS_DLQNT_DAY_GP_KSC_AVG12M,features.BNS_DLQNT_DAY_GP_KSC_AVG12M,BNS_DLQNT_DAY_GP_KSC_AVG12M,1,129,<,56.375,,,,,
BNS_DLQNT_DAY_GP_KSC_AVG12M,features.BNS_DLQNT_DAY_GP_KSC_AVG12M,BNS_DLQNT_DAY_GP_KSC_AVG12M,2,138,>=,56.375,<,130.54166,,,
BNS_DLQNT_DAY_GP_KSC_AVG12M,features.BNS_DLQNT_DAY_GP_KSC_AVG12M,BNS_DLQNT_DAY_GP_KSC_AVG12M,2,138,=,Missing/NULL,,,,,
BNS_DLQNT_DAY_GP_KSC_AVG12M,features.BNS_DLQNT_DAY_GP_KSC_AVG12M,BNS_DLQNT_DAY_GP_KSC_AVG12M,3,153,>=,130.54166,,,,,
STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,features.STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,1,136,<,641.5,,,,,
STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,features.STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,2,180,>=,641.5,,,,,
STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,features.STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,STEP_HGST_DLQNT_DAY_MTG_MAX12M_ACCT,2,180,=,Missing/NULL,,,,,
AT65_AVG12M,features.AT65_AVG12M,AT65_AVG12M,1,141,<,0.95833,,,,,
AT65_AVG12M,features.AT65_AVG12M,AT65_AVG12M,1,141,=,Missing/NULL,,,,,
AT65_AVG12M,features.AT65_AVG12M,AT65_AVG12M,2,146,>=,0.95833,,,,,
STEP_LEND_VALUE_MTG_MAX12M_ACCT,features.STEP_LEND_VALUE_MTG_MAX12M_ACCT,STEP_LEND_VALUE_MTG_MAX12M_ACCT,1,151,<,155750,,,,,
STEP_LEND_VALUE_MTG_MAX12M_ACCT,features.STEP_LEND_VALUE_MTG_MAX12M_ACCT,STEP_LEND_VALUE_MTG_MAX12M_ACCT,1,151,=,Missing/NULL,,,,,
STEP_LEND_VALUE_MTG_MAX12M_ACCT,features.STEP_LEND_VALUE_MTG_MAX12M_ACCT,STEP_LEND_VALUE_MTG_MAX12M_ACCT,2,137,>=,155750,,,,,
AT83,features.AT83,AT83,1,138,<,1.5,,,,,
AT83,features.AT83,AT83,2,142,>=,1.5,<,4.5,,,
AT83,features.AT83,AT83,2,142,=,Missing/NULL,,,,,
AT83,features.AT83,AT83,3,146,>=,4.5,,,,,

