"NCR_GEO_ID","NCR_GEO_KEY_VAL","NCR_GEO_DESC","FRS_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
4001,"0300",Total Geography,,"200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4002,"0301",Total Canada,,"200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4003,"0302",Alberta,"2         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4004,"0303",British Columbia,"3         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4005,"0304",Manitoba,"4         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4006,"0305",New Brunswick,"5         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4007,"0306",Newfoundland and Labrador,"6         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4008,"0307",Northwest Territories,"7         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4009,"0308",Nova Scotia,"8         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4010,"0309",Nunavut,"9         ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4011,"0310",Ontario,"10        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4012,"0311",Prince Edward Island,"11        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4013,"0312",Quebec,"12        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4014,"0313",Saskatchewan,"13        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4015,"0314",Yukon,"14        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4016,"0315",United States,"15        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4017,"0316",Mexico,"16        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4018,"0317",Other Latin America and Caribbean,"17        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4019,"0318",Europe,"18        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4020,"0319",All Other,"19        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
4021,"0399",No Geography,"21        ","200010","999912",Y,2014-10-02-10.54.52.000000,2014-10-02-10.54.52.000000
