"SCRTY_TP_CD","EFF_FROM_YR_MTH","EFF_TO_YR_MTH","SCRTY_DESC","CRNT_F","INSRT_PROCESS_TMSTMP","UPDT_PROCESS_TMSTMP"
"01        ","200010","999912",REAL-ESTATE                                       ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"03        ","200010","999912",BNS-NON-REDEEM-GIC                                ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"04        ","200010","999912",BNS-MUTUAL-FUNDS                                  ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"05        ","200010","999912",BNS-TREASURY-NOTE                                 ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"06        ","200010","999912",BNS-GAIN-PLAN                                     ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"07        ","200010","999912",TREASURY-BILLS                                    ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"08        ","200010","999912",CANADA-SAVINGS-BOND                               ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"09        ","200010","999912",FED-PROV-SAVINGS-BOND                             ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"11        ","200010","999912",CASH                                              ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"98        ","200010","999912",SECURED-BY-STEP                                   ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"02        ","200010","999912",BNS-REDEEMABLE-GIC                                ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
"10        ","200010","999912",LIFE-INSURANCE-CSV                                ,Y,2014-09-10-13.38.24.000000,2014-09-10-13.38.24.000000
